Portal Coordinates
(0, 5)         (1, 2)         (1, 6)         (2, 1)         (3, 8)         
(3, 4)         (4, 3)         (5, 0)         (5, 6)         (6, 1)         
(6, 11)        (6, 5)         (6, 7)         (7, 6)         (8, 3)         
(8, 13)        (9, 14)        (10, 11)       (10, 15)       (11, 10)       
(11, 6)        (12, 17)       (13, 8)        (13, 18)       (13, 14)       
(14, 9)        (14, 13)       (15, 16)       (15, 10)       (15, 20)       
(16, 21)       (16, 15)       (17, 18)       (17, 12)       (17, 22)       
(18, 17)       (18, 19)       (18, 13)       (18, 23)       (19, 18)       
(20, 15)       (21, 16)       (21, 22)       (22, 17)       (22, 21)       
(23, 24)       (23, 18)       (24, 23)       
